Customer_ID,Name,Age,Occupation,Monthly_Income,Gold_Weight_g,Gold_Purity,Market_Value_INR,LTV_Ratio,Loan_Amount_INR,Tenure_Months,Past_Defaults,Default_Status
CUST-1000,Abeer Srivastava,61,Daily Wage,117863,90.2,20,638661.1,73.52661036,469585.86,12,2,0
CUST-1001,Samarth Purohit,27,Professional,113700,25.55,22,198932.3,64.77303193,128854.48,9,1,0
CUST-1002,Devansh Bajwa,48,Small Business,30414,129.29,18,824223.75,62.4950631,515099.15,12,2,1
CUST-1003,Advik Srinivas,29,Daily Wage,61654,139.08,22,1082876.88,61.37666127,664633.67,3,0,0
CUST-1004,Darpan Dey,55,Small Business,118093,6.96,22,54190.56,85.42891072,46294.41,24,3,1
CUST-1005,Xalak Babu,57,Salaried,31110,126.84,22,987576.24,62.72128044,619420.46,3,2,1
CUST-1006,Raghav Chadha,44,Daily Wage,126576,62.68,22,488026.48,78.23768783,381820.63,6,3,1
CUST-1007,Akshay Borah,30,Professional,17046,11.41,24,96985,63.29421955,61385.9,9,3,1
CUST-1008,Hardik Arya,27,Farmer,70402,184.51,18,1176251.25,60.81859599,715379.5,9,1,0
CUST-1009,Tanvi Rattan,46,Professional,58631,184.97,20,1309680.08,73.27532474,959672.33,3,0,0
CUST-1010,Chatresh Anand,63,Salaried,122381,162.03,22,1261565.58,74.25613683,936789.86,12,0,0
CUST-1011,Veer Gera,48,Small Business,49643,46.1,18,293887.5,69.99449517,205705.07,9,2,0
CUST-1012,Manya Cherian,40,Farmer,142891,126.76,18,808095,85.11554767,687814.48,6,2,0
CUST-1013,Ria Chaudry,64,Farmer,60211,46.44,18,296055,63.32667778,187481.8,24,2,0
CUST-1014,Kavya Chawla,69,Farmer,48933,37.57,18,239508.75,64.09366756,153509.94,6,0,0
CUST-1015,Yutika Shetty,33,Daily Wage,64724,12.9,20,91338.45,66.00710062,60289.86,9,3,1
CUST-1016,Harshil Munshi,70,Salaried,127663,170.14,22,1324710.04,72.42780302,959458.38,24,1,0
CUST-1017,Deepa Kurian,30,Farmer,52537,92.36,20,653954.98,67.0484324,438466.56,12,3,1
CUST-1018,Krishna Toor,58,Daily Wage,121218,56.53,22,440142.58,83.29042792,366596.64,9,1,0
CUST-1019,Varsha Pillay,66,Daily Wage,85488,63.54,22,494722.44,73.09900963,361637.2,12,3,1
CUST-1020,Siya Mohan,41,Daily Wage,139074,42.16,20,298513.88,88.63190491,264578.54,24,0,0
CUST-1021,Nilima Narula,29,Professional,118460,53.84,18,343230,74.63268963,256161.78,3,3,1
CUST-1022,Samarth Rattan,28,Salaried,124124,134.21,18,855588.75,82.75534744,708045.44,12,0,0
CUST-1023,Nidra Dhillon,28,Daily Wage,107996,54.21,20,383833.9,74.52502755,286052.32,6,0,0
CUST-1024,Shivansh Bora,53,Daily Wage,97815,42.15,20,298443.08,60.08076289,179306.88,6,0,0
CUST-1025,Dipta Ray,26,Salaried,98293,194.66,18,1240957.5,72.17301036,895636.39,24,0,0
CUST-1026,Abeer Dass,35,Professional,78946,38.34,18,244417.5,69.86320756,170757.91,9,0,0
CUST-1027,Gaurav Lanka,22,Small Business,95580,14.8,24,125800,60.34141603,75909.5,3,2,1
CUST-1028,Ikshita Mahal,62,Professional,134072,127.91,24,1087235,78.88407286,857655.25,6,3,1
CUST-1029,Tanveer Nayak,57,Salaried,25289,105.63,20,747913.21,89.62802015,670339.8,9,3,1
CUST-1030,George Sani,22,Professional,122493,87.92,18,560490,61.6466148,345523.11,6,2,0
CUST-1031,Harshil Mangal,22,Professional,38903,165.89,18,1057548.75,60.92145181,644274.05,24,1,0
CUST-1032,Andrew Muni,54,Farmer,124142,190.78,18,1216222.5,65.1636511,792534.99,3,1,0
CUST-1033,Jyoti Ganguly,45,Salaried,77338,189.64,22,1476537.04,77.73519984,1147789.02,9,1,0
CUST-1034,Gabriel Mistry,47,Small Business,133994,172.11,18,1097201.25,87.0501765,955115.62,6,3,1
CUST-1035,Kabir Saini,34,Salaried,118262,193.74,20,1371776.07,80.2813363,1101280.16,24,2,1
CUST-1036,Quincy Lad,35,Farmer,115631,171.6,24,1458600,68.55881191,999998.83,6,2,0
CUST-1037,Ekaraj Anand,57,Professional,100296,124.84,24,1061140,69.48226103,737304.06,12,3,1
CUST-1038,Bhanumati Iyer,51,Small Business,56887,107.01,22,833179.86,60.254766,502030.58,6,2,1
CUST-1039,Chameli Garde,35,Professional,69586,132.43,22,1031099.98,79.30831468,817748.02,6,3,1
CUST-1040,Ridhi Sahota,51,Farmer,128384,21.03,24,178755,62.74892224,112166.84,6,3,1
CUST-1041,Luke Gulati,51,Salaried,65139,45.74,22,356131.64,83.75380853,298273.81,24,0,0
CUST-1042,Laban Mani,30,Small Business,112947,170.43,24,1448655,77.48998583,1122562.55,6,3,1
CUST-1043,Faraj Thakkar,49,Salaried,132324,102.57,20,726246.89,60.63185713,440336.98,12,2,0
CUST-1044,Oliver Soman,30,Professional,142890,183.24,18,1168155,75.31758626,879826.15,24,1,0
CUST-1045,Tanish Lalla,48,Farmer,53993,199.66,22,1554552.76,76.43517924,1188225.19,12,3,1
CUST-1046,Widisha Raman,64,Small Business,67209,171.64,24,1458940,61.45625488,896609.88,24,1,0
CUST-1047,Gabriel De,50,Small Business,108525,137.17,20,971232.18,63.01219489,611994.71,3,3,1
CUST-1048,Jeremiah Ben,45,Salaried,26380,199.22,18,1270027.5,70.70346969,897953.51,6,3,1
CUST-1049,George Garde,39,Professional,52610,63.81,18,406788.75,89.07617766,362351.87,6,2,1
CUST-1050,Nitara Lala,47,Farmer,114397,92.11,24,782935,68.57231282,536876.64,12,3,1
CUST-1051,Ria Aurora,37,Professional,34683,80.64,20,570971.52,64.7508353,369708.83,12,3,1
CUST-1052,Netra De,24,Small Business,128332,7.54,18,48067.5,67.44600097,32419.61,6,2,1
CUST-1053,Rachita Vyas,49,Daily Wage,142918,18.38,20,130139.59,80.55176117,104829.73,24,0,0
CUST-1054,Ria Nath,37,Salaried,145476,8.21,22,63923.06,64.03384204,40932.39,24,1,0
CUST-1055,Vedika Iyer,23,Farmer,135506,95.25,24,809625,88.08698554,713174.26,24,3,1
CUST-1056,Kala Pal,63,Salaried,21934,30.18,20,213689.49,81.04720996,173189.37,24,3,1
CUST-1057,Nirja Walia,48,Professional,109931,95.52,20,676329.36,82.62088006,558789.27,6,1,0
CUST-1058,Hemal Pandit,52,Salaried,123849,11.88,24,100980,65.55801019,66200.48,6,0,0
CUST-1059,Faqid Parmer,32,Farmer,46354,62.48,20,442389.64,79.4816298,351618.5,3,3,1
CUST-1060,Anmol Mishra,47,Professional,34530,107.2,24,911200,85.73217631,781191.59,6,2,1
CUST-1061,Edhitha Karnik,50,Daily Wage,118872,12.42,20,87939.81,68.77584851,60481.35,6,3,1
CUST-1062,Ati Atwal,42,Daily Wage,59261,135.44,22,1054535.84,80.49622656,848861.56,9,0,0
CUST-1063,Yadavi Bansal,30,Salaried,106404,137.62,22,1071509.32,89.45299779,958497.21,24,0,0
CUST-1064,Ucchal Jani,24,Professional,73531,66.9,22,520883.4,74.0880235,385912.22,24,0,0
CUST-1065,Nitesh Ghose,39,Professional,90123,54.3,20,384471.15,83.90803669,322602.19,12,0,0
CUST-1066,Veer Krishna,50,Daily Wage,92278,64.5,22,502197,80.6245583,404894.11,9,0,0
CUST-1067,Umang Dara,28,Small Business,84754,133.81,18,853038.75,61.1673008,521780.78,12,0,0
CUST-1068,Robert Tella,65,Daily Wage,144696,27.57,20,195209.38,86.60413781,169059.4,6,0,0
CUST-1069,Rachita Hans,24,Small Business,28516,148.34,20,1050321.37,79.88641342,839064.07,12,0,0
CUST-1070,Anusha Oza,36,Salaried,33344,90.94,18,579742.5,66.59074868,386054.87,9,2,0
CUST-1071,Vrishti Jhaveri,29,Small Business,103221,124.85,22,972082.1,82.64590433,803386.04,6,0,0
CUST-1072,Faraj Kuruvilla,69,Professional,143135,25.88,24,219980,73.76406683,162266.19,6,3,1
CUST-1073,Anamika Lad,61,Salaried,59714,36.24,22,282164.64,76.37689631,215508.59,3,2,1
CUST-1074,Yochana Iyer,26,Farmer,83398,56.73,22,441699.78,75.32027991,332689.51,6,0,0
CUST-1075,Ekbal Dara,21,Professional,105044,128.98,22,1004238.28,80.04453818,803837.89,9,0,0
CUST-1076,Nitara Parekh,67,Farmer,122625,197.2,20,1396274.6,67.2510793,939009.74,12,3,1
CUST-1077,Raagini Upadhyay,60,Salaried,75451,73.64,18,469455,77.06917769,361805.11,3,2,1
CUST-1078,Bimala Memon,29,Professional,23038,33.74,22,262699.64,76.66237689,201391.79,9,2,1
CUST-1079,Hemal Sane,23,Salaried,56564,132.35,22,1030477.1,61.39027652,632612.74,9,1,0
CUST-1080,Faras Dugar,48,Salaried,61819,109.18,24,928030,67.80560717,629256.38,6,1,0
CUST-1081,Hamsini Nori,53,Farmer,119868,131.17,22,1021289.62,61.14649242,624482.78,9,1,0
